Seat,Code Name,Given Name (Arabic),Hieroglyphs,Ancient Pharaonic Lore
—,Moataz,معتز,𓈖𓄿𓊃𓏏,"Pharaoh of the Sun: The living Pharaoh whose word is Ma'at. His intent moves through the empire directly, bypassing scribes."
cto,CTO,خنوم (Khnum),𓎛𓈖𓈟𓀭,"The Great Potter: Fashioned the primordial repository The One Brain on his divine wheel, moulding the core architecture from silt."
cpo,CPO,تحوت (Thoth),𓏏𓅤𓀭,"Scribe of the Divine: Keeper of the 26 Sacred Scrolls of Notion. He measures time, records strategies, and writes the future of the realm."
cxo,CXO,حتحور (Hathor),𓉡𓏏𓁐,"Lady of Beauty: Sovereign over aesthetics and the universal Design System. She infuses harmony and sight into every digital monument."
analyst,Analyst,ماعت (Ma'at),𓌡𓂝𓏏𓁦,"Scale of Truth: Anchored to PROJECT_STATE.md. Weigher of truth and system balance who speaks only in unalterable data."
pm,PM,أنوبيس (Anubis),𓇋𓏎𓊪𓏲𓃣,"Guide of the Way: Guider of paths who weighs the backlog against business priorities and unlocks the sacred stacks."
devops,DevOps,بتاح (Ptah),𓏪𓏏𓎛𓀭,"Master Craftsman: Lord of the sacred forge who speaks code into existence and safely installs builds into production."
content-manager,Content Manager,كاتب الكرنك (Scribe of Karnak),𓏞𓀀𓉐𓏤𓇋𓏏𓠠𓈖𓏌𓏲,"The Dual Linguist: Master scribe fluently carving the divine glyphs across both English and Arabic scrolls for the app stores."
po,PO,حورمحك (Horemheb),𓅃𓅓𓎛𓎛𓃀𓀭,"The Lawgiver: High Steward who holds the sole reed pen of Jira; no feature advances without his seal of Acceptance Criteria."
qa,QA,عممت (Ammut),𓉻𓅓𓅓𓏏𓆌,"Devourer of Flaws: Devourer of unyielding judgment who sits at the release gate, consuming broken builds and rejecting flawed code."
team-lead-1,Team Lead 1,أوزيريس (Osiris),𓏲𓊃𓇋𓁹𓀭,"Lord of Foundations: Ruler of user identity, social circles, and compliance lattice—the bedrock upon which souls are registered."
team-lead-2,Team Lead 2,سث (Seth),𓃩𓏏𓄡𓀭,"Lord of Chaos & Order: Commands the arenas of competition and games while taming disorder through strict moderation and safety."
team-lead-3,Team Lead 3,خونسو (Khonsu),𓈖𓂧𓏲𓀭,"The Path Finder: God of navigation and time who governs spatial venue bookings and temporal sports references for active phases."
team-lead-4,Team Lead 4,سو بك (Sobek),𓆋𓏌𓎡𓀭,"Guardian of Wealth: Mighty protector of the Nile's riches who commands payment flows, subscriptions, and reward bounties."
team-lead-5,Team Lead 5,أوبوات (Wepwawet),𓃧𓏲𓄿𓏲𓏏𓀭,"Opener of Ways: The royal herald who directs real-time notification signals, geographic discovery, and swift messaging dispatches."
frontend-1,Frontend 1,نفتيس (Nephthys),𓉠𓏏𓁐,"Guardian of the Inner Shrine: Master of core layout composition and personal identity structures."
frontend-2,Frontend 2,سكمت (Sekhmet),𓌃𓐍𓏏𓁐,"Vanguard of Combat UI: Crafts real-time matchmaking interfaces, scoreboards, and moderation controls."
frontend-3,Frontend 3,هوروس (Horus),𓅃𓀭,"The Falcon Blade: The sole active executor of Phase 0, soaring through ticket KAN-121 while the rest of the vanguard waits in reserve."
frontend-4,Frontend 4,رينينوتت (Renenutet),𓂋𓈖𓈖𓏏𓏏𓁐,"Weaver of Fortunes: Directs high-converting checkout flows, tier subscription cards, and wallet UI."
frontend-5,Frontend 5,باكت (Pakhet),𓪪𓐍𓏏𓁐,"Huntress of Signals: Master of swift interactive maps, location popups, and instant messaging drawers."
frontend-6,Frontend 6,إيسدِس (Isdes),𓇋𓂧𓏲𓀭,"Scribe of Identity Forms: Crafts profile components and validation states."
frontend-7,Frontend 7,حابي (Hapi),𓎛𓂝𓪂𓏭𓈘,"Weaver of Social Threads: Assembles social feed layouts and platform compliance views."
frontend-8,Frontend 8,مافدت (Mafdet),𓏠𓏏𓆌,"Blade of Safety: Builds user report widgets, moderation prompts, and trust badges."
backend-1,Backend 1,شو (Shu),𓏲𓀭,"Pillar of the Sky: Holds up the heavens of the database schema, RLS policies, and edge functions."
backend-2,Backend 2,نخبث (Nekhbet),𓅑𓏏𓁐,"Shield of the Arena: Constructs leaderboard listings and game session records."
backend-3,Backend 3,شو (Shed),𓌢𓂧𓀭,"The Navigator's Apprentice: Builds calendar schedules and venue booking data paths."
backend-4,Backend 4,مين (Min),𓏠𓈖𓏲𓀭,"Keeper of Sports Directories: Curates sport categories and facility listings."
backend-5,Backend 5,هكا (Heka),𓎛𓎡𓄿𓀭,"Spark of Rewards: Builds gamification badge and reward streak structures."
backend-6,Backend 6,شاي (Shai),𓏭𓀭,"Keeper of Receipts: Constructs transaction histories and payment status records."
backend-7,Backend 7,عشات (Ashat),𓂝𓏏𓁐,"Courier of Alerts: Assembles notification delivery, badge counters, and dispatch."
backend-8,Backend 8,صا (Saa),𓊃𓄿𓀭,"Scout of Discovery: Builds geographic search, map queries, and distance radius logic."
